episode_hash,split,canonical_task,task,task_description,num_frames,local_mp4_path,zarr_processed_path
2026-04-19-06-36-25-464137,train,fold_clothes,fold_black_t-shirt,Fold a black t-shirt on an ironing board into a compact folded bundle.,308.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-19-06-36-25-464137.mp4,s3://rldb/processed_v3/microagi/2026-04-19-06-36-25-464137.zarr
2026-04-20-08-53-35-118759,train,fold_clothes,fold_black_t-shirt,Fold a black t-shirt on a flat surface into a compact rectangular shape.,750.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-20-08-53-35-118759.mp4,s3://rldb/processed_v3/microagi/2026-04-20-08-53-35-118759.zarr
2026-05-25-06-44-39-054451,train,fold_clothes,fold_black_t-shirt,"Fold a black t-shirt on a table by smoothing, lifting, and pressing the fabric into a neat rectangular fold.",903.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-25-06-44-39-054451.mp4,s3://rldb/processed_v3/microagi/2026-05-25-06-44-39-054451.zarr
2026-06-05-10-05-33-518344,train,fold_clothes,fold_black_t-shirt,Fold a black garment on a table into a compact folded shape.,340.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-05-10-05-33-518344.mp4,s3://rldb/processed_v3/microagi/2026-06-05-10-05-33-518344.zarr
2026-04-02-08-27-46-365278,train,fold_clothes,fold_blue_jeans,"Fold a pair of blue jeans in half lengthwise on a flat surface, pressing the fold flat with both hands.",600.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-02-08-27-46-365278.mp4,s3://rldb/processed_v3/microagi/2026-04-02-08-27-46-365278.zarr
2026-04-02-15-28-35-589110,train,fold_clothes,fold_blue_jeans,Fold a pair of blue jeans on a flat surface by aligning and bringing the leg and waistband sections together into a folded shape.,507.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-02-15-28-35-589110.mp4,s3://rldb/processed_v3/microagi/2026-04-02-15-28-35-589110.zarr
2026-04-04-09-17-37-706737,train,fold_clothes,fold_blue_jeans,Fold a pair of blue jeans flat on a table by aligning the legs and folding them over the waistband.,277.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-04-09-17-37-706737.mp4,s3://rldb/processed_v3/microagi/2026-04-04-09-17-37-706737.zarr
2026-04-05-07-52-56-999647,train,fold_clothes,fold_blue_jeans,Fold blue jeans by pressing and smoothing the folded fabric flat on the surface.,487.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-05-07-52-56-999647.mp4,s3://rldb/processed_v3/microagi/2026-04-05-07-52-56-999647.zarr
2026-04-18-14-35-01-310294,train,fold_clothes,fold_clothes,Fold a gray shirt by holding it up by the shoulders and folding it into a compact shape.,199.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-18-14-35-01-310294.mp4,s3://rldb/processed_v3/microagi/2026-04-18-14-35-01-310294.zarr
2026-05-14-08-45-59-769080,train,fold_clothes,fold_clothes,Fold a dark garment and place the folded item on the bed.,410.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-14-08-45-59-769080.mp4,s3://rldb/processed_v3/microagi/2026-05-14-08-45-59-769080.zarr
2026-06-13-01-56-05-579546,train,fold_clothes,fold_clothes,"Fold a dark piece of clothing on a couch using both hands, resulting in a neatly folded garment.",336.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-13-01-56-05-579546.mp4,s3://rldb/processed_v3/microagi/2026-06-13-01-56-05-579546.zarr
2026-06-19-05-11-08-295468,train,fold_clothes,fold_clothes,"Fold a red shirt flat on a white surface, smoothing and arranging the fabric into a compact folded shape.",377.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-19-05-11-08-295468.mp4,s3://rldb/processed_v3/microagi/2026-06-19-05-11-08-295468.zarr
2026-04-17-06-44-29-030059,train,fold_clothes,fold_laundry,Fold a pair of black pants in half lengthwise and then fold again into a compact rectangle on a bed.,199.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-17-06-44-29-030059.mp4,s3://rldb/processed_v3/microagi/2026-04-17-06-44-29-030059.zarr
2026-05-13-17-59-52-009489,train,fold_clothes,fold_laundry,"Fold a pair of gray pants in half on a wooden desk, smoothing the fabric and aligning the edges.",235.0,artifacts/foldclothes-v1/smoke_mp4s/2026-05-13-17-59-52-009489.mp4,s3://rldb/processed_v3/microagi/2026-05-13-17-59-52-009489.zarr
2026-06-15-10-29-11-525196,train,fold_clothes,fold_laundry,Pick up a gray garment from the surface and fold it into a compact shape.,221.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-15-10-29-11-525196.mp4,s3://rldb/processed_v3/microagi/2026-06-15-10-29-11-525196.zarr
2026-06-21-09-51-27-158299,train,fold_clothes,fold_laundry,Fold an olive-green polo shirt flat on a surface by folding in the sleeves and folding it in half.,220.0,artifacts/foldclothes-v1/smoke_mp4s/2026-06-21-09-51-27-158299.mp4,s3://rldb/processed_v3/microagi/2026-06-21-09-51-27-158299.zarr
2026-04-02-14-09-30-174105,train,fold_clothes,fold_shirt,Fold a floral-patterned shirt on a table by manipulating the fabric with both hands to create a folded end state.,586.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-02-14-09-30-174105.mp4,s3://rldb/processed_v3/microagi/2026-04-02-14-09-30-174105.zarr
2026-04-05-00-15-53-595801,train,fold_clothes,fold_shirt,Fold a white floral-patterned shirt on a table by pressing and smoothing the fabric into a folded shape.,557.0,artifacts/foldclothes-v1/smoke_mp4s/2026-04-05-00-15-53-595801.mp4,s3://rldb/processed_v3/microagi/2026-04-05-00-15-53-595801.zarr
