episode_hash,task,task_description,lab,embodiment,num_frames,objects,rig_name,zarr_mp4_path,zarr_processed_path,canonical_task,split
2026-04-20-08-53-35-118759,fold_black_t-shirt,Fold a black t-shirt on a flat surface into a compact rectangular shape.,microagi,human_bimanual,750.0,,,s3://rldb/processed_v3/microagi/2026-04-20-08-53-35-118759.mp4,s3://rldb/processed_v3/microagi/2026-04-20-08-53-35-118759.zarr,fold_clothes,train
2026-05-25-06-44-39-054451,fold_black_t-shirt,"Fold a black t-shirt on a table by smoothing, lifting, and pressing the fabric into a neat rectangular fold.",microagi,human_bimanual,903.0,,,s3://rldb/processed_v3/microagi/2026-05-25-06-44-39-054451.mp4,s3://rldb/processed_v3/microagi/2026-05-25-06-44-39-054451.zarr,fold_clothes,train
2026-04-04-09-17-37-706737,fold_blue_jeans,Fold a pair of blue jeans flat on a table by aligning the legs and folding them over the waistband.,microagi,human_bimanual,277.0,,,s3://rldb/processed_v3/microagi/2026-04-04-09-17-37-706737.mp4,s3://rldb/processed_v3/microagi/2026-04-04-09-17-37-706737.zarr,fold_clothes,train
2026-04-05-07-52-56-999647,fold_blue_jeans,Fold blue jeans by pressing and smoothing the folded fabric flat on the surface.,microagi,human_bimanual,487.0,,,s3://rldb/processed_v3/microagi/2026-04-05-07-52-56-999647.mp4,s3://rldb/processed_v3/microagi/2026-04-05-07-52-56-999647.zarr,fold_clothes,train
2026-04-18-14-35-01-310294,fold_clothes,Fold a gray shirt by holding it up by the shoulders and folding it into a compact shape.,microagi,human_bimanual,199.0,,,s3://rldb/processed_v3/microagi/2026-04-18-14-35-01-310294.mp4,s3://rldb/processed_v3/microagi/2026-04-18-14-35-01-310294.zarr,fold_clothes,train
2026-05-14-08-45-59-769080,fold_clothes,Fold a dark garment and place the folded item on the bed.,microagi,human_bimanual,410.0,,,s3://rldb/processed_v3/microagi/2026-05-14-08-45-59-769080.mp4,s3://rldb/processed_v3/microagi/2026-05-14-08-45-59-769080.zarr,fold_clothes,train
2026-04-17-06-44-29-030059,fold_laundry,Fold a pair of black pants in half lengthwise and then fold again into a compact rectangle on a bed.,microagi,human_bimanual,199.0,,,s3://rldb/processed_v3/microagi/2026-04-17-06-44-29-030059.mp4,s3://rldb/processed_v3/microagi/2026-04-17-06-44-29-030059.zarr,fold_clothes,train
2026-05-13-17-59-52-009489,fold_laundry,"Fold a pair of gray pants in half on a wooden desk, smoothing the fabric and aligning the edges.",microagi,human_bimanual,235.0,,,s3://rldb/processed_v3/microagi/2026-05-13-17-59-52-009489.mp4,s3://rldb/processed_v3/microagi/2026-05-13-17-59-52-009489.zarr,fold_clothes,train
2026-04-02-14-09-30-174105,fold_shirt,Fold a floral-patterned shirt on a table by manipulating the fabric with both hands to create a folded end state.,microagi,human_bimanual,586.0,,,s3://rldb/processed_v3/microagi/2026-04-02-14-09-30-174105.mp4,s3://rldb/processed_v3/microagi/2026-04-02-14-09-30-174105.zarr,fold_clothes,train
2026-04-05-00-15-53-595801,fold_shirt,Fold a white floral-patterned shirt on a table by pressing and smoothing the fabric into a folded shape.,microagi,human_bimanual,557.0,,,s3://rldb/processed_v3/microagi/2026-04-05-00-15-53-595801.mp4,s3://rldb/processed_v3/microagi/2026-04-05-00-15-53-595801.zarr,fold_clothes,train
2026-04-10-20-33-28-456857,fold_white_shirt,Fold a white shirt on a flat surface into a compact rectangular shape and place it with other folded clothes.,microagi,human_bimanual,201.0,,,s3://rldb/processed_v3/microagi/2026-04-10-20-33-28-456857.mp4,s3://rldb/processed_v3/microagi/2026-04-10-20-33-28-456857.zarr,fold_clothes,train
2026-05-25-07-17-02-948101,fold_white_shirt,Fold a white shirt into a compact rectangular shape on a flat surface.,microagi,human_bimanual,410.0,,,s3://rldb/processed_v3/microagi/2026-05-25-07-17-02-948101.mp4,s3://rldb/processed_v3/microagi/2026-05-25-07-17-02-948101.zarr,fold_clothes,train
