episode_hash,task,task_description,lab,embodiment,num_frames,objects,rig_name,zarr_mp4_path,zarr_processed_path,canonical_task,split
2026-04-01-13-01-52-306576,fold_black_t-shirt,Fold a black t-shirt by manipulating and pressing it into a compact folded shape.,microagi,human_bimanual,347.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.zarr,fold_clothes,train
2026-04-01-13-02-17-288242,fold_black_t-shirt,Fold a black t-shirt by smoothing the fabric and folding it into a compact rectangular shape.,microagi,human_bimanual,427.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-02-17-288242.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-02-17-288242.zarr,fold_clothes,train
2026-04-01-13-12-17-036505,fold_black_t-shirt,Fold a black t-shirt by bringing the sides inward and folding the bottom up into a compact rectangle.,microagi,human_bimanual,1038.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.zarr,fold_clothes,train
2026-04-01-13-20-50-604714,fold_black_t-shirt,Fold a black t-shirt in half and then in half again into a compact rectangle on the bed.,microagi,human_bimanual,1598.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-20-50-604714.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-20-50-604714.zarr,fold_clothes,train
2026-04-01-13-36-31-627128,fold_black_t-shirt,Fold a black t-shirt flat on a surface by folding the sides inward and then folding it in half into a compact rectangle.,microagi,human_bimanual,908.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.zarr,fold_clothes,train
2026-04-02-14-53-42-140650,fold_black_t-shirt,Fold a black t-shirt flat on a table into a compact folded bundle.,microagi,human_bimanual,1379.0,,,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.mp4,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.zarr,fold_clothes,train
2026-04-03-04-15-27-188657,fold_black_t-shirt,Fold a black t-shirt by bringing one side over the center and pressing it flat on the surface.,microagi,human_bimanual,160.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.zarr,fold_clothes,train
2026-04-03-04-16-00-249986,fold_black_t-shirt,Fold a black t-shirt flat on a table by smoothing it and folding it in half.,microagi,human_bimanual,329.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.zarr,fold_clothes,train
2026-04-08-12-52-47-027664,fold_black_t-shirt,Fold a black t-shirt on a table by tucking in the sleeves and folding it in half into a compact rectangle.,microagi,human_bimanual,1099.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-52-47-027664.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-52-47-027664.zarr,fold_clothes,train
2026-04-08-12-53-31-395997,fold_black_t-shirt,Fold a black t-shirt on a table by aligning and folding the sleeves and body into a compact shape.,microagi,human_bimanual,171.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-53-31-395997.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-53-31-395997.zarr,fold_clothes,train
