episode_hash,task,task_description,lab,embodiment,num_frames,objects,rig_name,zarr_mp4_path,zarr_processed_path,canonical_task,split,embedding_dim,embedding_norm,frames_sampled,decoded_frame_count,fps,embedding_model,embedding_version,embedding_json_path,curation_variant
2026-04-01-13-01-52-306576,fold_black_t-shirt,Fold a black t-shirt by manipulating and pressing it into a compact folded shape.,microagi,human_bimanual,347.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.zarr,fold_clothes,train,512,1.0,8,347,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-01-52-306576.json,random-774
2026-04-01-13-12-17-036505,fold_black_t-shirt,Fold a black t-shirt by bringing the sides inward and folding the bottom up into a compact rectangle.,microagi,human_bimanual,1038.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.zarr,fold_clothes,train,512,0.9999999403953552,8,1038,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-12-17-036505.json,random-774
2026-04-01-13-20-50-604714,fold_black_t-shirt,Fold a black t-shirt in half and then in half again into a compact rectangle on the bed.,microagi,human_bimanual,1598.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-20-50-604714.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-20-50-604714.zarr,fold_clothes,train,512,0.9999999403953552,8,1598,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-20-50-604714.json,random-774
2026-04-01-13-36-31-627128,fold_black_t-shirt,Fold a black t-shirt flat on a surface by folding the sides inward and then folding it in half into a compact rectangle.,microagi,human_bimanual,908.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.zarr,fold_clothes,train,512,0.9999999403953552,8,908,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-36-31-627128.json,random-774
2026-04-02-14-53-42-140650,fold_black_t-shirt,Fold a black t-shirt flat on a table into a compact folded bundle.,microagi,human_bimanual,1379.0,,,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.mp4,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.zarr,fold_clothes,train,512,1.0,8,1379,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-02-14-53-42-140650.json,random-774
2026-04-03-04-15-27-188657,fold_black_t-shirt,Fold a black t-shirt by bringing one side over the center and pressing it flat on the surface.,microagi,human_bimanual,160.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.zarr,fold_clothes,train,512,1.0,8,160,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-03-04-15-27-188657.json,random-774
2026-04-03-04-16-00-249986,fold_black_t-shirt,Fold a black t-shirt flat on a table by smoothing it and folding it in half.,microagi,human_bimanual,329.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.zarr,fold_clothes,train,512,1.0,8,329,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-03-04-16-00-249986.json,random-774
2026-04-08-12-53-31-395997,fold_black_t-shirt,Fold a black t-shirt on a table by aligning and folding the sleeves and body into a compact shape.,microagi,human_bimanual,171.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-53-31-395997.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-53-31-395997.zarr,fold_clothes,train,512,1.0,8,171,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-12-53-31-395997.json,random-774
2026-04-08-12-53-38-402664,fold_black_t-shirt,Fold a black t-shirt on a table by folding the sides inward and the bottom up into a compact rectangle.,microagi,human_bimanual,349.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-53-38-402664.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-53-38-402664.zarr,fold_clothes,train,512,1.0,8,349,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-12-53-38-402664.json,random-774
2026-04-08-13-09-36-120955,fold_black_t-shirt,Fold a black t-shirt on a table by manipulating the fabric into a folded shape.,microagi,human_bimanual,237.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-09-36-120955.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-09-36-120955.zarr,fold_clothes,train,512,0.9999998807907104,8,237,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-09-36-120955.json,random-774
