episode_hash,task,task_description,lab,embodiment,num_frames,objects,rig_name,zarr_mp4_path,zarr_processed_path,canonical_task,split,embedding_dim,embedding_norm,frames_sampled,decoded_frame_count,fps,embedding_model,embedding_version,embedding_json_path,curation_variant
2026-04-01-13-01-52-306576,fold_black_t-shirt,Fold a black t-shirt by manipulating and pressing it into a compact folded shape.,microagi,human_bimanual,347.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-01-52-306576.zarr,fold_clothes,train,512,1.0,8,347,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-01-52-306576.json,diversity-774
2026-04-01-13-02-17-288242,fold_black_t-shirt,Fold a black t-shirt by smoothing the fabric and folding it into a compact rectangular shape.,microagi,human_bimanual,427.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-02-17-288242.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-02-17-288242.zarr,fold_clothes,train,512,1.0000001192092896,8,427,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-02-17-288242.json,diversity-774
2026-04-01-13-12-17-036505,fold_black_t-shirt,Fold a black t-shirt by bringing the sides inward and folding the bottom up into a compact rectangle.,microagi,human_bimanual,1038.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-12-17-036505.zarr,fold_clothes,train,512,0.9999999403953552,8,1038,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-12-17-036505.json,diversity-774
2026-04-01-13-36-31-627128,fold_black_t-shirt,Fold a black t-shirt flat on a surface by folding the sides inward and then folding it in half into a compact rectangle.,microagi,human_bimanual,908.0,,,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.mp4,s3://rldb/processed_v3/microagi/2026-04-01-13-36-31-627128.zarr,fold_clothes,train,512,0.9999999403953552,8,908,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-01-13-36-31-627128.json,diversity-774
2026-04-02-14-53-42-140650,fold_black_t-shirt,Fold a black t-shirt flat on a table into a compact folded bundle.,microagi,human_bimanual,1379.0,,,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.mp4,s3://rldb/processed_v3/microagi/2026-04-02-14-53-42-140650.zarr,fold_clothes,train,512,1.0,8,1379,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-02-14-53-42-140650.json,diversity-774
2026-04-03-04-15-27-188657,fold_black_t-shirt,Fold a black t-shirt by bringing one side over the center and pressing it flat on the surface.,microagi,human_bimanual,160.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-15-27-188657.zarr,fold_clothes,train,512,1.0,8,160,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-03-04-15-27-188657.json,diversity-774
2026-04-03-04-16-00-249986,fold_black_t-shirt,Fold a black t-shirt flat on a table by smoothing it and folding it in half.,microagi,human_bimanual,329.0,,,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.mp4,s3://rldb/processed_v3/microagi/2026-04-03-04-16-00-249986.zarr,fold_clothes,train,512,1.0,8,329,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-03-04-16-00-249986.json,diversity-774
2026-04-08-12-52-47-027664,fold_black_t-shirt,Fold a black t-shirt on a table by tucking in the sleeves and folding it in half into a compact rectangle.,microagi,human_bimanual,1099.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-52-47-027664.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-52-47-027664.zarr,fold_clothes,train,512,0.9999999403953552,8,1099,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-12-52-47-027664.json,diversity-774
2026-04-08-12-53-38-402664,fold_black_t-shirt,Fold a black t-shirt on a table by folding the sides inward and the bottom up into a compact rectangle.,microagi,human_bimanual,349.0,,,s3://rldb/processed_v3/microagi/2026-04-08-12-53-38-402664.mp4,s3://rldb/processed_v3/microagi/2026-04-08-12-53-38-402664.zarr,fold_clothes,train,512,1.0,8,349,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-12-53-38-402664.json,diversity-774
2026-04-08-13-09-45-659288,fold_black_t-shirt,Fold a black t-shirt in half on a table by aligning the edges and pressing it flat.,microagi,human_bimanual,158.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-09-45-659288.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-09-45-659288.zarr,fold_clothes,train,512,0.9999999403953552,8,158,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-09-45-659288.json,diversity-774
2026-04-08-13-15-19-450196,fold_black_t-shirt,Unfold a black t-shirt and lay it flat on the table.,microagi,human_bimanual,172.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-15-19-450196.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-15-19-450196.zarr,fold_clothes,train,512,0.9999999403953552,8,172,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-15-19-450196.json,diversity-774
2026-04-08-13-17-02-116101,fold_black_t-shirt,"Fold a black t-shirt on a table by lifting, aligning, and folding it into a compact shape.",microagi,human_bimanual,198.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-17-02-116101.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-17-02-116101.zarr,fold_clothes,train,512,1.0,8,198,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-17-02-116101.json,diversity-774
2026-04-08-13-18-02-639434,fold_black_t-shirt,Fold a black t-shirt on a table by folding the sleeves inward and folding the garment in half.,microagi,human_bimanual,219.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-18-02-639434.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-18-02-639434.zarr,fold_clothes,train,512,1.0,8,219,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-18-02-639434.json,diversity-774
2026-04-08-13-19-17-101972,fold_black_t-shirt,Fold a black t-shirt on a table into a compact rectangular shape.,microagi,human_bimanual,194.0,,,s3://rldb/processed_v3/microagi/2026-04-08-13-19-17-101972.mp4,s3://rldb/processed_v3/microagi/2026-04-08-13-19-17-101972.zarr,fold_clothes,train,512,1.0,8,194,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-08-13-19-17-101972.json,diversity-774
2026-04-09-09-29-13-674343,fold_black_t-shirt,Fold a black t-shirt flat on a table by aligning the sleeves and folding it in half.,microagi,human_bimanual,172.0,,,s3://rldb/processed_v3/microagi/2026-04-09-09-29-13-674343.mp4,s3://rldb/processed_v3/microagi/2026-04-09-09-29-13-674343.zarr,fold_clothes,train,512,1.0,8,172,30.0,openai/clip-vit-base-patch32,foldclothes_train_clip_v1_8frames,artifacts/foldclothes-v1/train_clip_v1/foldclothes-train-clip-v1/2026-04-09-09-29-13-674343.json,diversity-774
