episode_hash,task,task_description,lab,embodiment,num_frames,objects,rig_name,zarr_mp4_path,zarr_processed_path,canonical_task,split
2026-04-19-06-36-25-464137,fold_black_t-shirt,Fold a black t-shirt on an ironing board into a compact folded bundle.,microagi,human_bimanual,308.0,,,s3://rldb/processed_v3/microagi/2026-04-19-06-36-25-464137.mp4,s3://rldb/processed_v3/microagi/2026-04-19-06-36-25-464137.zarr,fold_clothes,train
2026-04-20-08-53-35-118759,fold_black_t-shirt,Fold a black t-shirt on a flat surface into a compact rectangular shape.,microagi,human_bimanual,750.0,,,s3://rldb/processed_v3/microagi/2026-04-20-08-53-35-118759.mp4,s3://rldb/processed_v3/microagi/2026-04-20-08-53-35-118759.zarr,fold_clothes,train
2026-05-25-06-44-39-054451,fold_black_t-shirt,"Fold a black t-shirt on a table by smoothing, lifting, and pressing the fabric into a neat rectangular fold.",microagi,human_bimanual,903.0,,,s3://rldb/processed_v3/microagi/2026-05-25-06-44-39-054451.mp4,s3://rldb/processed_v3/microagi/2026-05-25-06-44-39-054451.zarr,fold_clothes,train
2026-06-05-10-05-33-518344,fold_black_t-shirt,Fold a black garment on a table into a compact folded shape.,microagi,human_bimanual,340.0,,,s3://rldb/processed_v3/microagi/2026-06-05-10-05-33-518344.mp4,s3://rldb/processed_v3/microagi/2026-06-05-10-05-33-518344.zarr,fold_clothes,train
2026-04-02-08-27-46-365278,fold_blue_jeans,"Fold a pair of blue jeans in half lengthwise on a flat surface, pressing the fold flat with both hands.",microagi,human_bimanual,600.0,,,s3://rldb/processed_v3/microagi/2026-04-02-08-27-46-365278.mp4,s3://rldb/processed_v3/microagi/2026-04-02-08-27-46-365278.zarr,fold_clothes,train
2026-04-02-15-28-35-589110,fold_blue_jeans,Fold a pair of blue jeans on a flat surface by aligning and bringing the leg and waistband sections together into a folded shape.,microagi,human_bimanual,507.0,,,s3://rldb/processed_v3/microagi/2026-04-02-15-28-35-589110.mp4,s3://rldb/processed_v3/microagi/2026-04-02-15-28-35-589110.zarr,fold_clothes,train
2026-04-04-09-17-37-706737,fold_blue_jeans,Fold a pair of blue jeans flat on a table by aligning the legs and folding them over the waistband.,microagi,human_bimanual,277.0,,,s3://rldb/processed_v3/microagi/2026-04-04-09-17-37-706737.mp4,s3://rldb/processed_v3/microagi/2026-04-04-09-17-37-706737.zarr,fold_clothes,train
2026-04-05-07-52-56-999647,fold_blue_jeans,Fold blue jeans by pressing and smoothing the folded fabric flat on the surface.,microagi,human_bimanual,487.0,,,s3://rldb/processed_v3/microagi/2026-04-05-07-52-56-999647.mp4,s3://rldb/processed_v3/microagi/2026-04-05-07-52-56-999647.zarr,fold_clothes,train
2026-04-18-14-35-01-310294,fold_clothes,Fold a gray shirt by holding it up by the shoulders and folding it into a compact shape.,microagi,human_bimanual,199.0,,,s3://rldb/processed_v3/microagi/2026-04-18-14-35-01-310294.mp4,s3://rldb/processed_v3/microagi/2026-04-18-14-35-01-310294.zarr,fold_clothes,train
2026-05-14-08-45-59-769080,fold_clothes,Fold a dark garment and place the folded item on the bed.,microagi,human_bimanual,410.0,,,s3://rldb/processed_v3/microagi/2026-05-14-08-45-59-769080.mp4,s3://rldb/processed_v3/microagi/2026-05-14-08-45-59-769080.zarr,fold_clothes,train
2026-06-13-01-56-05-579546,fold_clothes,"Fold a dark piece of clothing on a couch using both hands, resulting in a neatly folded garment.",microagi,human_bimanual,336.0,,,s3://rldb/processed_v3/microagi/2026-06-13-01-56-05-579546.mp4,s3://rldb/processed_v3/microagi/2026-06-13-01-56-05-579546.zarr,fold_clothes,train
2026-06-19-05-11-08-295468,fold_clothes,"Fold a red shirt flat on a white surface, smoothing and arranging the fabric into a compact folded shape.",microagi,human_bimanual,377.0,,,s3://rldb/processed_v3/microagi/2026-06-19-05-11-08-295468.mp4,s3://rldb/processed_v3/microagi/2026-06-19-05-11-08-295468.zarr,fold_clothes,train
2026-04-17-06-44-29-030059,fold_laundry,Fold a pair of black pants in half lengthwise and then fold again into a compact rectangle on a bed.,microagi,human_bimanual,199.0,,,s3://rldb/processed_v3/microagi/2026-04-17-06-44-29-030059.mp4,s3://rldb/processed_v3/microagi/2026-04-17-06-44-29-030059.zarr,fold_clothes,train
2026-05-13-17-59-52-009489,fold_laundry,"Fold a pair of gray pants in half on a wooden desk, smoothing the fabric and aligning the edges.",microagi,human_bimanual,235.0,,,s3://rldb/processed_v3/microagi/2026-05-13-17-59-52-009489.mp4,s3://rldb/processed_v3/microagi/2026-05-13-17-59-52-009489.zarr,fold_clothes,train
2026-06-15-10-29-11-525196,fold_laundry,Pick up a gray garment from the surface and fold it into a compact shape.,microagi,human_bimanual,221.0,,,s3://rldb/processed_v3/microagi/2026-06-15-10-29-11-525196.mp4,s3://rldb/processed_v3/microagi/2026-06-15-10-29-11-525196.zarr,fold_clothes,train
