episode_id,suite,arm,iteration,attempt_success,decision_index,observation_step,accepted,provider_call,error_kind,decision_id,source_pair_changed,alpha_changed,vision_annotations,source_a_id,source_b_id,alpha,input_tokens,output_tokens,reasoning_tokens,total_tokens
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,1,0,True,True,,astra_tei_2_d1,False,False,0,13,18,0,4004,232,0,4236
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,2,25,True,True,,astra_tei_2_d2,False,False,0,13,18,0,5299,234,0,5533
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,3,50,True,True,,astra_tei_2_d3,False,False,0,13,18,0,5572,249,0,5821
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,4,75,True,True,,astra_tei_2_d4,False,True,0,13,18,0.5,5864,339,80,6203
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,5,100,True,True,,astra_tei_2_d5,False,True,0,13,18,0,6194,309,42,6503
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,6,125,True,True,,astra_tei_2_d6,True,True,0,13,14,0.35,6491,311,33,6802
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,7,150,True,True,,astra_tei_2_d7,False,False,0,13,14,0.35,6803,257,0,7060
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,8,175,True,True,,astra_tei_2_d8,False,True,0,13,14,0.55,7123,318,45,7441
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,9,200,True,True,,astra_tei_2_d9,False,False,0,13,14,0.55,7430,288,19,7718
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,10,225,True,True,,astra_tei_2_d10,True,True,0,13,32,0.35,7755,392,114,8147
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,11,250,True,True,,astra_tei_2_d11,False,True,0,13,32,0.55,8082,311,35,8393
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,2,False,12,275,True,True,,astra_tei_2_d12,True,True,0,13,18,0.65,8399,408,122,8807
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,1,0,True,True,,astra_tei_3_d1,False,False,0,13,18,0.2,7777,351,74,8128
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,2,25,True,True,,astra_tei_3_d2,False,False,0,13,18,0.2,9118,261,0,9379
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,3,50,True,True,,astra_tei_3_d3,False,True,0,13,18,0.5,9425,313,31,9738
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,4,75,True,True,,astra_tei_3_d4,False,True,0,13,18,0.7,9748,318,0,10066
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,5,100,False,True,proposal_rejected,,False,False,0,,,,10105,353,50,10458
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,6,125,True,True,,astra_tei_3_d6,False,False,0,13,18,0.7,10161,341,38,10502
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,7,150,True,True,,astra_tei_3_d7,False,True,0,13,18,0.85,10514,391,71,10905
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,8,175,False,True,proposal_rejected,,False,False,0,,,,10875,350,54,11225
libero_goal_ood:seed29:task0:state0,libero_goal_ood,astra_tei,3,False,9,200,True,True,,astra_tei_3_d9,True,True,0,13,32,0.55,10915,343,39,11258
