episode,scene,task_description,start,end,frames,verb,object,hand,grip,grasp_loc,angle,source,relation,ref_object,ref_direction,orientation,flip,sub_position,text
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,0,216,216,pick,bell pepper,right,plain,entire,side,table,-,-,-,-,-,-,Pick up the bell pepper from the table with the right hand from the side grasping the entire object.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,216,324,108,place,bell pepper,right,-,-,-,-,corner,croissant,corner,none,up,top_right,Place the bell pepper to the right of the croissant on the top right side with the right hand right side up with the front as the reference point.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,324,582,258,pick,croissant,right,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the right hand at a diagonal angle grasping the entire object.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,582,771,189,place,croissant,right,-,-,-,-,corner,bell pepper,corner,none,none,none,Put the croissant to the bottom right side of the bell pepper with the right hand.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,768,1041,273,pick,pink cup,left,lip,top,diagonal,table,-,-,-,-,-,-,Pick up the pink cup from the table with the left hand using a lip grip at the top from a diagonal angle.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,1041,1152,111,place,pink cup,left,-,-,-,-,left,croissant,left,backwards,up,bottom,Place the pink cup to the left of the croissant on the bottom side with the left hand handle facing backwards right side up.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,1152,1416,264,pick,croissant,right,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the right hand at a diagonal angle grasping the entire object.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,1416,1581,165,place,croissant,right,-,-,-,-,inside,green bowl,inside,none,none,none,Put the croissant inside the green bowl with the right hand.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,1581,1917,336,pick,pen,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the pen from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,1917,2169,252,place,pen,left,-,-,-,-,left,pink cup,left,backwards,none,bottom,Put the pen to the left of the pink cup with the left hand on the bottom side facing backwards with the tip as the reference point.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,2331,2472,141,pick,bell pepper,right,plain,entire,side,table,-,-,-,-,-,-,Pick up the bell pepper from the table with the right hand from the side grasping the entire object.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,2472,2607,135,place,bell pepper,right,-,-,-,-,corner,pink cup,corner,none,up,bottom_right,Place the bell pepper to the right of the pink cup on the bottom right side right side up with the front as the reference using the right hand.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,2607,2685,78,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right arm.
2026-03-03-05-03-57-023000,pick_place_div_scene,pick place play data with large task variations,2685,3000,315,pick,pink cup,left,lip,top,diagonal,table,-,-,-,-,-,-,Pick up the pink cup from the table with the left hand using a lip grip at the top with a diagonal angle.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,0,153,153,pick,green bowl,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the left hand using a diagonal lip grasp on the left side.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,153,243,90,dump,bread,left,-,-,-,-,table,table,none,none,none,top,Dump the bread on the top side of the table with the left hand.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,243,480,237,place,green bowl,left,-,-,-,-,left,orange screwdriver,left,none,none,none,Put the green bowl to the left of the orange screwdriver with the left hand.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,474,792,318,pick,bell pepper,right,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the bell pepper from the table with the right hand at a diagonal angle grasping the entire object.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,792,951,159,place,bell pepper,right,-,-,-,-,right,bread,right,none,up,none,Put the bell pepper to the right of the bread with the right hand right side up with the front as the orientation reference point.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,951,1164,213,pick,pink mug,right,lip,top,top,table,-,-,-,-,-,-,Pick up the pink mug from the table with the right hand using a lip grip at the bottom right from the top.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,1164,1428,264,place,pink mug,right,-,-,-,-,front,bell pepper,front,bottom_right,up,none,Put the pink mug in front of the bell pepper with the handle facing bottom right side up using the right arm.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,1428,1836,408,pick,orange screwdriver,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the orange screwdriver from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,1836,1977,141,place,orange screwdriver,left,-,-,-,-,inside,green bowl,inside,none,none,none,Put the orange screwdriver into the green bowl with the left hand.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,1977,2172,195,pick,bread,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the bread from the table with the left hand using a side grip at the bottom diagonally.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,2172,2310,138,place,bread,left,-,-,-,-,inside,green bowl,inside,none,none,none,Put the bread into the green bowl to the left of the orange screwdriver with the left hand.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,2310,2358,48,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,2358,2634,276,pick,pink mug,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the pink mug from the table with the right hand using a diagonal lip grasp on the right.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,2634,2799,165,place,pink mug,right,-,-,-,-,left,bell pepper,left,backwards,up,none,Place the pink mug to the left of the bell pepper with the handle facing backwards right side up using the right arm.
2026-03-03-05-11-26-461000,pick_place_div_scene,pick place play data with large task variations,2799,3000,201,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,0,126,126,pick,pink mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the pink mug from the table with the right hand at a diagonal angle by the handle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,126,444,318,place,pink mug,right,-,-,-,-,between,orange screwdriver and the bell pepper,between,none,up,top,Put the pink mug between the orange screwdriver and the bell pepper on the top side right side up with the right hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,444,672,228,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,672,753,81,place,croissant,left,-,-,-,-,inside,green bowl,inside,none,none,none,Put the croissant inside the green bowl with the left hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,753,987,234,pick,orange screwdriver,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the orange screwdriver from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,987,1074,87,place,orange screwdriver,left,-,-,-,-,inside,green bowl,inside,forwards,none,none,Put the orange screwdriver inside the green bowl with the left hand facing forwards.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,1074,1272,198,pick,pink mug,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the pink mug from the table with the right hand at a diagonal angle by the handle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,1272,1431,159,place,pink mug,right,-,-,-,-,front,bell pepper,front,bottom_left,up,none,Place the pink mug in front of the bell pepper with the right hand right side up with the front facing bottom left.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,1731,1893,162,pick,bell pepper,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the bell pepper from the table with the right hand at a diagonal angle gripping the middle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,1893,2118,225,place,bell pepper,right,-,-,-,-,center,,none,none,up,none,Put the bell pepper to the center of the table with the right hand right side up with the front at the bottom side.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2118,2217,99,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right arm.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2217,2388,171,pick,green bowl,left,lip,left,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the left hand using a diagonal lip grasp on the left.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2388,2475,87,dump,orange screwdriver,left,-,-,-,-,table,table,none,none,none,top,Dump the orange screwdriver and the croissant on the top side of the table with the left hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2475,2622,147,place,green bowl,left,-,-,-,-,left,orange screwdriver,left,none,none,none,Put the green bowl to the left of the orange screwdriver with the left hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2622,2808,186,pick,croissant,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the croissant from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2808,2940,132,place,croissant,left,-,-,-,-,behind,bell pepper,behind,none,up,top,Put the croissant behind the bell pepper on the top side right side up with the front as reference using the left hand.
2026-03-03-05-15-53-096000,pick_place_div_scene,pick place play data with large task variations,2940,3000,60,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,0,153,153,pick,green bowl,right,lip,right,diagonal,table,-,-,-,-,-,-,Pick up the green bowl from the table with the right hand using a diagonal lip grasp on the right side.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,153,288,135,place,green bowl,right,-,-,-,-,right,white coffee cup,right,none,none,none,Put the green bowl to the right of the white coffee cup with the right hand.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,288,492,204,pick,brown stuffed toy,left,plain,entire,diagonal,table,-,-,-,-,-,-,Pick up the brown stuffed toy from the table with the left hand at a diagonal angle grasping the entire object.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,491,654,163,place,brown stuffed toy,left,-,-,-,-,inside,green bowl,inside,forwards,none,none,Place the brown stuffed toy inside the green bowl with the left hand facing forwards.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,654,993,339,pick,white coffee cup,right,handle,handle,diagonal,table,-,-,-,-,-,-,Pick up the white coffee cup from the table with the right hand using a diagonal grip at the handle.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,993,1176,183,place,white coffee cup,right,-,-,-,-,on_top,pink plate,on_top,backwards,up,none,Put the white coffee cup on top of the pink plate with the handle facing backwards right side up using the right arm.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,1176,1410,234,pick,blue stuffed toy,left,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the left hand at a diagonal angle grasping the middle.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,1410,1566,156,place,blue stuffed toy,left,-,-,-,-,inside,white coffee cup,inside,none,down,none,Put the blue stuffed toy inside the white coffee cup with the left hand upside down.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,1566,1821,255,pick,white coffee cup,right,lip,right,diagonal,pink plate,-,-,-,-,-,-,Pick up the white coffee cup from the top of the pink plate with the right hand using a diagonal lip grasp on the right.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,1821,1896,75,dump,blue stuffed toy,right,-,-,-,-,right,pink plate,right,none,none,none,Dump the blue stuffed toy to the right of the pink plate with the right hand.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,1896,2073,177,place,white coffee cup,right,-,-,-,-,right,green bowl,right,backwards,up,none,Put the white coffee cup to the right of the green bowl with the right hand right side up with the front facing backwards.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2073,2274,201,pick,yellow stuffed toy,left,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the yellow stuffed toy from the table with the left hand using a side grip at the bottom diagonally.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2274,2382,108,place,yellow stuffed toy,left,-,-,-,-,on_top,pink plate,on_top,top_right,none,none,Place the yellow stuffed toy on top of the pink plate with the left hand facing top right.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2382,2451,69,return,-,left,-,-,-,-,-,-,-,-,-,-,Return to home with the left hand.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2451,2583,132,pick,blue stuffed toy,right,plain,middle,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand at a diagonal angle grasping the middle.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2583,2730,147,place,blue stuffed toy,right,-,-,-,-,left,green bowl,left,bottom_left,none,none,Put the blue stuffed toy to the left of the green bowl with the right hand facing bottom left.
2026-03-03-05-20-29-363000,pick_place_div_scene,pick place play data with large task variations,2730,3000,270,return,-,right,-,-,-,-,-,-,-,-,-,-,Return to home with the right hand.
2026-03-03-05-27-14-876000,pick_place_div_scene,pick place play data with large task variations,0,153,153,pick,blue stuffed toy,right,side,bottom,diagonal,table,-,-,-,-,-,-,Pick up the blue stuffed toy from the table with the right hand using a side grip at the bottom from a diagonal angle.
